video_id,title,published_at,channel_id,channel_title,view_count,like_count,category,comment_count
fEeltzGEakE,Bloqueio de Ormuz: Navios chineses teriam atravessado estreito; EUA negam | #SBTBrasil,2026-04-15 01:14:44+00:00,UC376n347Ob5Lwzq2WGzF1AA,SBT News,10348,110,News & Politics,5
6YOgXR2e-jE,EUA faz algo INACREDITÁVEL no Estreito de Ormuz e Irã recua,2026-04-14 10:00:14+00:00,UCmFO-xaAO-h_smlamxX_oog,Oracle Eyes em Português,16810,1027,News & Politics,28
7YkIppjrrQE,EUA ampliam presença militar e aumentam tensão no Estreito de Ormuz | ANÁLISE EXCLUSIVA,2026-04-13 19:37:55+00:00,UCY-FPXguTtLHSTK5YpQ-sgQ,TIMES BRASIL - LICENCIADO EXCLUSIVO CNBC,11761,186,News & Politics,35
4DMSvwSc7HI,Irã promete resposta letal se EUA bloquearem Estreito de Ormuz e alerta sobre alta dos combustíveis,2026-04-13 12:35:10+00:00,UCbiGwU0-W1XCDUrt3BTVrag,Rádio CBN,13623,265,News & Politics,51
f8-VTdqEn6E,Irã anuncia que voltou a fechar o estreito de Ormuz após bloqueio dos EUA a navios iranianos,2026-04-19 00:24:37+00:00,UCmpHPgeCBgvk_fDXZQKsnAA,Jornal da Record,6081,464,News & Politics,0
c0c6KiiRe50,JN: Irã volta a fechar o Estreito de Ormuz e ataca navios; Trump diz que não aceitará chantagem,2026-04-18 23:46:53+00:00,UCaGmdJSSiR7fkh2A-c6emsA,g1,57243,1167,News & Politics,137
h-1PzcoY37I,Irã fechou novamente o estreito de Ormuz!,2026-04-18 23:21:01+00:00,UC6lE5IXws0T6361qAOI-5tQ,MundoSobTensão,1939,124,News & Politics,0
cWXZXG-HtY8,Estreito de Ormuz é fechado após ataques a navios petroleiros | Jornal da Band,2026-04-18 22:43:53+00:00,UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,125822,1440,People & Blogs,145
ozmHvXOkIfQ,"Irã volta a fechar Estreito de Ormuz, atira em petroleiros e diz que palavras de Trump sobre rota 'n",2026-04-18 22:14:51+00:00,UCI8KHs5kAkQ_iIW-s3Mb66w,Giro da Verdade,1109,39,News & Politics,0
tWYhb9Morew,Irã volta a impor controle militar rigoroso no Estreito de Ormuz e acusa EUA de pirataria Teerã,2026-04-18 22:11:28+00:00,UClP92fueChggRXMFfbBjb7w,Radar Global | Poder & Dinheiro,909,27,People & Blogs,1
VfQEsbyTHfY,A abertura do Estreito Ormuz,2026-04-18 21:31:58+00:00,UCRWECuKfsH3EpZoYaT50noA,O Mundo em Movimento,330,7,News & Politics,0
ILyz9XJSVhE,ISRAEL E LÍBANO ANUNCIAM CESSAR-FOGO E IRÃ REABRE ESTREITO DE ORMUZ | JP INTERNACIONAL - 18/04/26,2026-04-18 20:30:06+00:00,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,7405,211,News & Politics,7
3Fq_gzuigQU,AH-64 domina estreito de Ormuz,2026-04-18 19:16:54+00:00,UCw0UyK__by_mQZOAs1-mkMA,Notícias Militares BR GO,1226,0,Science & Technology,1
vPwqzT3_Qzg,TRUMP ACUSA IRÃ DE 'CHANTAGEM NO ESTREITO DE ORMUZ,2026-04-18 19:10:00+00:00,UC9T0ZAarQHL4cJGFzORVsFg,Itatiaia,9381,276,News & Politics,13
AU8iSXnbdAM,Irã volta a fechar o estreito de Ormuz,2026-04-18 18:44:24+00:00,UCaGmdJSSiR7fkh2A-c6emsA,g1,197488,2945,News & Politics,379
EvkCDsMRCfY,Irã ameaça fechar Estreito de Ormuz,2026-04-18 18:25:05+00:00,UCBJyWBdEYbPuE5JuN4_zfJg,Mundo News,3499,16,News & Politics,0
y7yqmS9sCj8,"​""O PETRÓLEO VAI SUBIR? 🚨 Irã fecha Estreito de Ormuz e o caos começa!""",2026-04-18 17:25:30+00:00,UCY_5_-LX9saSIWnwojfC95w,Brasil 24 horas SP ,840,25,Entertainment,0
wbu5Baq9Tag,“Trump é mentiroso” - Irã fecha estreito de Ormuz! Ataque a agente ONU no Líbano: fim cessar-fogo?!,2026-04-18 17:20:00+00:00,UCT6Imb3GXhF8GmjpIk6y2lg,Professor Ricardo Marcílio,62730,5961,Education,517
6J51d77bJj4,"Radio Raros Amigos! Estreito Ormuz Fechado! WW3, Episódio 50.",2026-04-18 17:09:03+00:00,UChhrfK5UUSUVq7v-3KspvZg,Hoje No Marcelo Militar,423,71,Comedy,1
ktr_S2K1R54,AGORA: Irã fecha o Estreito de Ormuz de novo. O cessar-fogo colapsou?,2026-04-18 16:37:11+00:00,UCvNURf4LtS8uvF_MjKp4Bgw,The Black Candle,627,35,People & Blogs,5
aLsfyx-RJ5g,Embarcações voltam a desviar do Estreito de Ormuz após bloqueio do Irã | InfoMoney News,2026-04-18 16:12:22+00:00,UCxm0tptjIc76-i26EKQ9NpA,InfoMoney,9580,55,News & Politics,15
TEIr_LTu8jg,URGENTE | IRÃ FECHA O ESTREITO DE ORMUZ MAIS UMA VEZ! TAMBORES DA GUERRA RUFAM NOVAMENTE!,2026-04-18 15:15:19+00:00,UClSt_VdYpCb77r_N6f0cAwA,Geoforça Brasil - Rubem Gonzalez,12900,1906,Entertainment,81
jndM5NaPk7Q,Estreito de Ormuz Aberto? A Verdade Chocante! 🚢,2026-04-18 15:14:59+00:00,UCDPoO0c3PtTMajf6wbTquiA,cortes na massa ,864,36,Film & Animation,0
eyKN5EzbFaE,Irã fecha Estreito de Ormuz e aumenta tensão: o que isso significa para o mundo? #notícias #guerra,2026-04-18 15:01:07+00:00,UCFgW6JxmswGe2tv9IMwMrEQ,CANAL SENADO,649,24,News & Politics,1
PWcYBsNzsl8,Lanchas iranianas disparam contra petroleiro no Estreito de Ormuz | AGORA CNN,2026-04-18 14:57:19+00:00,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,76871,1091,News & Politics,156
Qck-1i9QV9g,Irã dispara contra petroleiro no Estreito de Ormuz após fechar passagem,2026-04-18 14:23:44+00:00,UCoa-D_VfMkFrCYodrOC9-mA,Band Jornalismo,84396,887,News & Politics,150
_r0rujzTiRY,Irã volta a bloquear Estreito de Ormuz e eleva tensão com EUA | InfoMoney News,2026-04-18 14:18:14+00:00,UCxm0tptjIc76-i26EKQ9NpA,InfoMoney,10231,192,News & Politics,54
xRKLzS533Oc,Irã retoma bloqueio do Estreito de Ormuz em resposta à restrição dos EUA a seus portos | #NewsSábado,2026-04-18 13:40:29+00:00,UC376n347Ob5Lwzq2WGzF1AA,SBT News,52042,877,News & Politics,106
Tf7SNJKy7q4,Além do Estreito de Ormuz: A Armadilha Geológica que Pode Parar a Engenharia Moderna,2026-04-18 13:03:57+00:00,UCJvNZxRp_JUK3cZjuPP3PyA,Terra Sob Sigilo,18122,496,Education,8
